language,sentences
fr," de reste.Courage, dit Sancho, nous y vo"
es,ar en losúltimos retretes del secreto.-A
fr,r j'ai en moi plus de proverbesqu'un liv
fr,urage! commençons aujourd'huiplutôt que 
fr, grand soin dene pas me laisser reconnaî
es,sver muerto con tanta brevedad?-No es po
es,"evan aotra sala, donde halla puestas las"
fr, Mon tourment a beau croître et grandir 
es,mente era medroso y de pocoánimo. Digo q
es,"o podemos, ni es razón que nosdetengamos"
fr,"ujours poursuivant saméchante intention,"
en,"p with a fair wind, andwill be to-night "
es,"uevo accidente, hasta allí jamás en ella"
fr,"ancho, soyez tranquille; mais n'entrepre"
fr,"de point la pompe et l'ornement,  Ce sup"
fr, de toutes cesbelles phrases; il se donn
fr,"er une seulement n'étaitpas possible, pu"
es,es costumbre ymala usanza de los de vues
es,"iguó aquella máquina de pendencias, por "
en,ed to smell his way back to Rocinante.Th
es,más principal dueña de su madre. Sucedió
fr,maîtressejeta Lothaire dans un si grand 
fr,"il voulait nous atteindre, ce qu'il prou"
en, WHAT HAPPENED TO DON QUIXOTE IN THE CAS
fr,"ur, reprit Sancho, vous saurez que tout "
es,"cuchillado le sirve de gala y de camisa,"
es,"mil honestos favores, tanto, que se cont"
fr, force de bras on ramena Sancho etle gri
es,", ya por fuerza ya porgrado, le hemos de"
es,"mos hacer el nueso, yserles ha sano.-Lev"
es,"ificio que en sí contienen, el cual se m"
es,"dado,de manera que ni con las manos podí"
es,llassimples y algunos embusteros bellaco
fr, Cet homme n'entendait point raillerie; 
fr,"mportance, il suppliait Leurs Excellence"
es,"ertificado,cuando, recogiendo su pergami"
fr,ation fussent composésde manière à ne pa
fr,"cruche, ou la cruche contre la pierre, t"
es,rzade acomodar al propósito presente est
es,"do, y el primero que haresucitado el ya "
en,"le bythe bridle; but this, in turn, anno"
fr,hevalier de la Triste-Figure quandil se 
en,ed in my master's service were to be val
es,"topor esta ventana, y ninguno me ha pare"
fr,"arnais, car ce n'est pas à la noce queno"
es, y ponerte en un laberinto de imaginacio
es,", haz comovieres"", pidió a Ricote la bot"
es,chufeta acerca de hacerburla de vuestra 
en,ad distorted his mind andvision so sadly
es,"ba, y que me ha de volver mi cola; que a"
fr,ver le chevalier ou la princesse infortu
es," supadre!Oyó Sancho las voces, y, apretá"
en, the monstrous nose of the squire kept c
fr,ne ennemie de celle que tu mettrais au s
fr,ent se portenotre âne?Il se porte mieux 
en,"l he asked for, he said, was that some o"
es,"e veía, con muchafacilidad las acomodaba"
es,"uí a Melisendradesnarigada, estando la o"
fr,"ntentions, de même il renverse lesmauvai"
fr, qu'ils aurontéprouvé à ce sujet.Votre i
fr,"mes sont d'ordinaire assez curieuses, un"
fr,"erra que je lui suis fidèle, et que je n"
es," usan.A lo cual, mansamente, deteniendo "
fr,ulut que j'arrivasse à Gênes en même tem
fr,t raillerie. ViveDieu! s'ils vous dépist
es," valle delágrimas, en este mal mundo que"
es,"as perlas, de Tíbar el oro y de Pancaya "
fr,s viendra sur le bout dela langue: pourv
en,"ompanion, hoping that he would soon behu"
fr, Cardenio; mon pays est une des principa
es,"cimientos le dijo:-De esa manera, Antoni"
es,tocantes y concernientes a los hechos de
es," y sus hijas ysobrinas, las cuales llora"
en,n strangecostumes and with curious faces
fr," Eh bien, oui, je le veux; la douleur qu"
es,mañana; y quiso su corta y desventurada 
fr,able marcherais-je? répondit Sancho: ent
es,ar Dulcinea del Toboso.   Supe su encant
fr, faire donner un breuvage qui vous remet
es,uera de la jaula y miró a todas partesco
fr,"us auriez tenu la tête du concours,au li"
es," no fue tenido enmenos, y fue un muy val"
es," lo dan, y comecuando lo tiene, y respon"
es,que tiras con las inumerables saetas de 
en,"those he saw were really three ladies,on"
en,nfess thee the most beautiful in theworl
es,"itraída por las calles, ni publicada por"
fr,sonne ne mereconnaîtra sous cet habit. M
fr,meilleurs sont descharges fort pesantes 
fr,ns le premier village que je traversai à
es,"ea, que todos son soberbios y descomedid"
es,"omo aquello fuese ansí, que no ledaba mu"
es,"; aunque,por verme puesto en libros y an"
es,"vayas agora, que he menester tufavor y a"
es,"n lascortesías, mal mirados; largos en l"
fr,"as en cadeau, et deux mille autres pour "
fr,) don Quichotte répondit: Seigneur châte
es,an mal sabe guardar la fe que promete.»É
es,"uramento, y sijurare que me los ha vuelt"
fr,la lecture des livres dechevalerie avec 
es, laobra.-Con todo eso -replicó el camina
es,a nunca acabar.-Este que viene es El Pas
fr," grand appétit,avalaient des morceaux gr"
fr,ier régidor: nous n'avons donc qu'à marc
fr,. Prenez donc du champ ce que vous en vo
es,"componerla, ninguno tuve por mayor que h"
fr,sse comme lamarâtre d'Hercule à une foul
fr,"leurs maîtres,ils étaient gratifiés de q"
fr,"nombre des fous.Seigneur bachelier, répo"
fr,"le dura plus d'une demi-heure, après quo"
es,"de decir mi señor -dijo Sancho-, que, co"
fr," duchesse, qui, dès que Sancho l'eut qui"
fr,eigneurs! au secours! accourez àl'aide d
en,ant-woman neighbor on oneoccasion; and h
fr,ibles jarrets du flegmatiqueRossinante d
es,"uales ya sabían su desgracia,y el monest"
es,"siglos pasados, lospresentes, ni esperan"
en,onment an affliction. It was in a way a 
es, comían raíces de la tierra. Y no se ent
fr,"rs, les lois de la chevalerie t'interdis"
es," mitad della.-¿De qué te ríes, Sancho? -"
fr,"il se mit à visiter le bissac, eten tira"
fr," ces finesses-là, répliqua Sancho; qu'il"
en,uted out his challenge. But no one who p
es,iese.»Andaba Anselmo perdido de amores d
es,"ra, cuya anotación os dará gran crédito;"
es,"va salían,dejaron de oírse, ya ellos ten"
fr,.CHAPITRE LVDE CE QUI ARRIVA A SANCHO EN
es,n contar los premiados vivos con treslet
fr, de grands remercîmentsà son hôte pour l
es,uellaimaginación que Sancho tuvo de burl
en,"ht inthe open.Night came at last, and wh"
fr,cet abîme de feu qui s'était ouvert tout
es,ínsulaDejamos al gran gobernador enojado
fr,"là ce labyrinthe de difficile issue, et "
es,"menos se corriera Sancho, si de nuevo no"
fr,Sancho.Aussitôt on apporta deux grands b
es, da noticia quién era el de la Blanca Lu
es,quien hacían sombraagradable y fresca ot
en,s moment Dorothea saw Cardenio from her 
es, de tan verdes y frondosos árboles compu
es,"o dos varas delsuelo, cubierto todo con "
fr,"lier, disait-il, si l'on vient derechef "
es,"en Dios y en mi ánima que miente.-¿""Mien"
es,ra cosa: que creo que vas en balde a bus
es,"ber, amigo, que los escuderosde los caba"
fr,tre héros;car je la prenais pour un chât
fr,dre et à vous expliquertoutes les beauté
es,nregalo oílle o leelle. De todo esto ha 
fr,"bier du village, maître Nicolas, prétend"
en,night of his solemn oath to theladies. H
en,ight had traveled all theway from the ki
fr," s'approchant touttremblant, empêchez qu"
fr,avec la troisième il se proposait de ser
es,"farol, sendero, norte y guía   de aquell"
fr,a bien.Se voyant prêt à descendre: Pardi
fr,soù la table était dressée. On fit asseo
es,a la horadel yantar.-No tengo en qué ech
en,"y did so, and the room was now inpitch d"
es,"donde se descubren treinta, o pocosmás, "
es,"ndo no pueden más, o cuando están enamor"
es," el entretanto que se vestía, contó el c"
fr, répondit Sancho: parbleu! il ne doit ri
es,grande quecasi le hacía sombra a todo el
fr,"n chérubin.Or çà, femme, dit Sancho, som"
es,"s en la cabeza y ceptros en las manos,da"
fr,"nes sauvages,répliqua l'écuyer du Bocage"
fr,ouraged'accomplir ma promesse. Quand j'é
es,n de tener prometida.Calló en diciendo e
fr,"diables; enfin, les forçats ne lelâchère"
es,"ulanzón, y, tomando buena parte del camp"
es,"veme vuestra merced, señor, a lasancas d"
en,"lta and the coasts of Naples and Sicily,"
en, while Sancho recommended that they retu
en,he day. They soon drifted to Sancho'sgov
fr,", maîtrePierre, je ne sache pas avoir ri"
fr, se convertissait en diamant; et si tu y
fr,"UC.»Sancho resta frappé de stupeur, ains"
en, sohappened that one of them was carryin
fr,"e.Je ne le dis ni ne le pense, repartit "
fr,"arsonnages, interrompit Carrasco.Allons!"
es,orque no hay ningún peligro en la tierra
fr,ent des corsaires français qui pillaient
es,"udencias,conviene a saber, de la falta d"
es,a de su caballo. En verdad que nos habéi
es,"í de los otros vicios, con que noseñale "
es,"jote,tomando el freno entre los dientes,"
fr,"ant près de deux heures, sans pouvoir m'"
es, tan luengas que sólo el ribete del monj
fr,et lavie m'est devenue insupportable. Je
es,"s adornos de los que ahora se usan, a qu"
fr,"nts. Lemercier, furieux, saisit une aune"
es,"o decir, que sin blanca entré en estegob"
es,", encájenme ese gobierno y verán maravil"
fr,"A A SANCHO PANZA, EN FAISANT LA RONDE DA"
fr,"ar en ôtant l'occasion,on ôte le péché, "
fr,ebajo desta losa fria.  [61] Se dice del
es,"pantóse la muerta de la degollada"", y vu"
fr,"u quatre pages d'écriture. Or, ce soldat"
es,"ro encomendémoslo todo a Dios,que Él es "
en,e who has been a good squire will be a g
fr,"âce, s'il arrive que vous soyez assezmal"
es," maltratase,pues no era mucho que quien "
fr,"rtoisie, je ferai en sorte que mon seign"
es,s libros de caballerías. Hallóse el escr
es,"re, parece algo tragón, porque come apri"
es,"eñor hidalgo -respondió don Quijote-, a "
es,", y dotado detan buen entendimiento, se "
fr," et aux mains, et qu'on me garde à vue: "
fr,"ré, sont ceux que je vais énumérer. D'ab"
es,", que hagranjeado en solos diez días que"
en,ers heimmediately corroborated by saying
es,", con el cual no hay que tener temor a l"
fr,"te sur Rossinante, et Sancho sur son anc"
es," sobrina, dar aSancho Panza, mi escudero"
es,"orazónen oílla, fue tanta la cólera y ra"
en,a dinner that day that would pleasehim.S
fr,"Il répondit avec calme, mais d'unton sév"
es, respeto ni consideración queparecerles 
es,"guacastellana y peor vizcaína, desta man"
fr,"t à la blessure de Camille, dont il se d"
es, sino pasar el estrecho deGibraltar de n
fr,u'à la fin il jeta madame Dulcinée parte
fr,"n ma généalogie,que je me trouverai tout"
fr," une fois guéri de ses égratignures,trou"
en, when his master was up and awake the ne
es,"r descubierta,acudió luego a las barbas "
es, tú debes de haberpensado que tampoco yo
fr,"(p. 229).]Le curé, voyant que son dessei"
es,", y no debe de ser para mí.-Ni para mí t"
fr,on Quichotte rendit laliberté ainsi qu'à
fr,etétat?Au lieu de répondre à la question
es,"sin blanca y sin el jumento a mi casa, n"
es,"cedió, pues, que se pasaron muchos días "
es,"aida, de los cuales compré este animal e"
fr,"omet qui était d'or massif, à ce que rac"
fr, qui veutacquérir la réputation d'homme 
es," las adversidades y el sufrimiento, así "
es, la paja y cebada que daba a los arriero
es,"nemigos pintados, sino en sumismo ser, y"
es,"lma y de lugares, y deste músico, cuya v"
en,"elfwas anxious for it too, so he sent Sa"
fr,"le feu éternel, mais avec Dieu; car, dep"
en,"as your Worshipssay, I trust he does not"
fr,"outumé à la souffrance, de résister à ta"
es," por loco, porque lo que hablaba era con"
en,arn what she had missed and would regret
es,"ue mi madre; porque, a ser lo que ella d"
es,"esto, no hay mujer que crea que para ell"
en,ch the incident of his blanket journey h
es,y orden que guarda de quelos caballeros 
en,nds of the Turks and the Algerians and a
es,"plad vuestras lágrimas, o, por mejor dec"
es,l entendimiento ni a la memoria.En estas
es,a mediodía con mi destreza moderna y zaf
es,dijeron de la manera que me habían halla
es,"olicitoaquél, ni burlo con uno ni me ent"
fr," vives instances, au poste le plus péril"
es, o qué señales ha hallado que le den a e
fr,e àvous demander: pour qu'il ne prenne p
fr,"us de bien que Basile; mais, à vrai dire"
en,"what it was all about, but couldarrive a"
fr,"ier qui se reconnut après l'orage, ce fu"
fr," qui connaît touteleur malice, et qui sa"
fr,"cinée dans ce monde, et si elle est réel"
fr,dessus on voit presque toujours une cour
es,"a que crea vuestro engaño;empero, para s"
es,"dicen que se usan, y las señorasiban a l"
fr,"ge de cette espèce, ce doit êtreplutôt u"
fr,"lle, si belle, qu'elleembellissait la mo"
fr,"r, car je vais retourner chez moi, puisq"
es,e y a buenas noches. Y torno a decir que
es,a sacado. Volviéronla a la presencia del
es,mbién debistes vos de caer.-No caí -dijo
fr,"e le porter au duc et à la duchesse, qui"
es,lor de la andante caballería; oh luz res
es,resaltase si de improviso la asaltásemos
fr,"opinion, devait l'être ungouverneur, ell"
fr,"gens, qu'ilsvirent accourir un énorme sa"
fr,uère appelé le chevalier de la Triste-Fi
es,"e deso -respondió Sancho-, siendo él tan"
es,"ron don Quijote y Sancho, y, apenas se h"
fr,", mais sans atteindre encore la dix-huit"
es," tiraba de su brazo, porver si podía sol"
es,"ura que la mía, puesto que, por haberme "
fr,r les écuyers de se battre quands'escrim
fr," dans lacour, près du cellier; ces cruch"
fr,"l cas, mieux vaut fuir qu'accepter lecom"
fr, du chemin du Toboso; mais n'apercevant 
es,"ena derelasos, y el hacer una cosa por o"
es,que sin ser su marido la llegara a la vi
es,vista de ojos cuánhonrosa cosa es andar 
fr,"aquer, je nelaisserai personne en vie da"
es,"o.-Eso no, marido mío -dijo Teresa-: viv"
fr,"un coup, nos mentons demeurent lissescom"
es,"llaman Quiteria la hermosa, y el desposa"
fr,émené de la sorte.Je le croirais volonti
es,"quien daré fin dentro decuatro meses, De"
fr,"us avons eue? moi, du moins; car,je le s"
es,"mino estaban,donde, dejando vacías la si"
es,"nes, debía de ser por habérsele puesto t"
es,"a orden de su caballería; en lacual, com"
es,"onela otras de Camila, llamándose cobard"
es,r lo que mi buen amigo debede haber hech
fr,ret. Mabibliothèque se compose d'une soi
en,"edy, while they would incriminate those "
es,"quemallos que de echar una tela,por gran"
es,gora que estamos tan apique de ser pasto
es, átomos del sol clarísimo de la obra de 
es,"arro dos veces, y aun tres, mayor que lo"
en,were the knight and the squire aghast; t
es,"a, que hay fama, por tradición de padres"
es, a este caballero que no tenga mástiempo
es," que dejaserenombre de loco, que, puesto"
es,mente podían salir de la ciudad; y no fu
fr,st l'épée du chevalier errant. Qu'elle v
es,los diablos y déjeme a mí.Y el acabar de
es,"ciendo él la guía, llegamos al bajel,y, "
es,"os, limpiémelos, y vi que no dormía, sin"
fr," rigueur.Il avait beau se plaindre, pers"
fr,ls le décidèrent à déclarer que si elle 
es,"breza, me parece queno había que decir m"
es,"antarillo a la fuente..., y no te digo m"
es,sí es -replicó el galeote-; y la culpa p
fr,r; sans compter qu'il pouvait s'en trouv
fr,paysan; et se jetant à genoux devant San
es," Sancho muyalegres, como si les importar"
fr,perfluité. Je ne glose jamais sur la con
fr,ant un homme d'autorité et d'intelligenc
es,"el coche un hombre, que en el trajemostr"
fr,"aratifs achevés, don Quichotte s'arma de"
fr,"dans votre cœur, comme dans leur dernier"
fr,"erneur.Ami Sancho, dit le duc, l'île que"
es,"n y cebolla, como gobernador con perdice"
fr,"historien, et ilest joliment au courant "
es,a señas que llegásemos a tomarla. Miramo
fr,"rgers, quel est le curé de village, si s"
es,"ella salía una muy blanca mano, que la a"
fr,"e façon; trouvez bon, s'il vous plaît,qu"
es,mirar a los más altos ingenios que los l
en,"us but once, when he fought with theBisc"
fr,"nteurs. Or, il est incontestable que par"
es,os emperadoresgentiles y caballeros anda
es,"ado venía el pífaro, negro y pizmiento c"
es,entura de la que notuvieron ellos en no 
es, los quiere quemar?-Cismáticos queréis d
es,"ó por sobrenombre Machuca, y así él como"
es,nciaque entre los dos trabó el diablo la
fr,"ait un âne peint aunaturel, le cou tendu"
es," prudencia necesaria, y así, me han sali"
fr," sa conscience ne courait aucun danger, "
fr,procédé sentait plutôt la courtisane que
es,"ina de tan gran reino), y no pudo ni qui"
es,"e lugar, y tendrán losentendimientos lib"
es,le decir que buen corazón quebranta mala
fr,tes. Le captif réponditqu'il ne savait p
fr,t avec d'autresyeux que lorsque vous éti
es,que deje sin guarda la vuestra; porque l
fr,"nte, mon cher oncle.[Illustration: Revie"
es,"l batalla,sin tener temor que malandrine"
fr,e homme que tu vois là est notre command
fr,ales(p. 58).]Ils ne m'ont point donné le
es,"nían bien con laspreguntas; y, como nadi"
fr,ieux encore. Souvent ces chevaliers atte
es,"l que compra barca,principalmente si es "
en, the trip to her father's island at once
es,"e parece que se me ablandan los cascos, "
fr, longtemps déjà donné la main à mon fils
fr,"nom, qu'ilsauta à bas de sa monture; pui"
fr,is ce fut en vain; le troisième ne fut p
es,o vuestra merced parece.Aquí dio un gran
fr,"e mon filleul d'armes, de ne plus désorm"
es,"me, mal aconsejado perro, ¿quién te movi"
fr,"plus discourir, il donna un nouvel assau"
fr,   l'ingénieux don Quichotte            
es,", señora, con vuestro sólito agrado al s"
en, of his originally assumed indifference.
es,dad tiene su asiento y donde todo triste
fr,"r lui en autant de lagunes qui, dans le "
fr,"endre coussins ni éperons, tant j'ai hât"
fr,out le mal de cette jeune fille prend sa
en,avewanted to rob her of them?So she spok
es,io de que él era muy aficionado.»Estos d
en,t having once been a magistrate should n
es,"a Sancho, porque no sabía la casa deDulc"
fr,"  Escudero el mas fiel,  Que vió el trat"
es,"detardar en desengañarle? Mejor fuera, s"
es,e contando.Estas razones del Roto trujer
es,tan famoso y tan agradable nombre se per
es,"ón, de la cual SuMajestad la hora de ago"
fr,"oxes, planètes, enfin tous les degréset "
fr," don Quichotte, que quelque voyageur se "
fr,".Tu te trompes en cela, Sancho, dit don "
fr,"      Rien n'est plus noble que ma race,"
es,"quí vienen tres, todos juntos: LaAraucan"
fr,était couronnée d'une guirlande de fleur
es,cual daré tales disculpas queella venga 
fr,"mille lieues de tour,qui regorge de tout"
fr,"sordre, c'estle signe d'un esprit faible"
es,. Lo que yo leencargo es que mire cómo g
fr,"combattants. La duègne et safille, dans "
es,la que habíahecho de su discreción y de 
fr,"nfants, mais, selon lui, très-convenable"
fr, de lui-même.Au milieu de ces propos qui
es," hermosa mujer parecía, con tan sueltale"
en,ey all thought it a veryentertaining sto
es,ncho ni más ni menos.El caballero lament
es,us tenemos.-¿Qué gente es? -dijo Cardeni
en,"they possessed, and were just about to s"
es,"onras ajenas, ycastíguele, y rómpaselas,"
fr,"s de larmes: Va-t'en, chrétien, va-t'en."
fr," troplongtemps les secrets, et je craind"
es,"el rucio a Sancho, que allí no se declar"
en, to chatter histeeth as if he were sayin
fr,"yétait résolu, dût-il pénétrer jusqu'aux"
fr,entilhomme avait épousé une certaine Man
es,", creyendo Sancho que, pues aquel camino"
es,"de Neptuno; y, con todo esto, con intrép"
fr,"r ici, et d'yattendre de pied ferme, non"
es," las manchas que en ella caen, o losdefe"
es,ella andaban las puñadas ymojicones muy 
en,wherethey were carrying the wounded king
fr,reste il n'était pasbesoin de l'instruir
es, la noticia que tenía de todas aquellas 
fr, soufflerdans une corne pour rassembler 
fr,"signifiait,et si dans l'île on ne dînait"
es,gre y de lucios cascos. Armóse Sansóncom
fr,"ités, et l'engageant à choisir parmi eux"
fr,ant qui la prendra pourmaîtresse. Peste!
fr,"e et puissante, elles ont finipeu à peu "
es,"sno y puso de reata aRocinante; y, lleva"
en,"w, while all of this was taking place, D"
fr,"s y chercher des paysles plus lointains,"
fr," mots, seigneur don Quichotte, répondit "
fr,le faire connaître. Ce grand mot de vert
fr,"isandre qui, en ce moment, doit être à l"
en,l of herancestry and lineage. First of a
fr,ant les deux troupes se saluèrent avec c
fr,"véridique histoire. Toutefois, comme ils"
es,recera la sin ventura que de tan lueñes 
es,"on a casa de Anselmo, donde hallaron a C"
es,"ueesperar, con silencio, sagacidad y dis"
fr,our exercer leur industrie chez les pers
en,e bent down and kissedhis hands--he had 
es,or entre aquellos castaños y árbolessomb
es,"n loco cuerdo y unmentecato gracioso, y "
es,ijo de sus obras.-Así es verdad -dijo An
fr," en prononçant le oui fatal, et que son "
fr,lleurs raisonnements qu'il put trouver s
en,re they had gone veryfar they would resu
fr,vec plus d'éclat chez une personne issue
es,"e palabra, bajó en uninstante, abrió la "
es,"so caballero donQuijote de la Mancha, y "
fr,"res encadence et avec tant d'adresse, qu"
es,"orazón de alcornoque, deentrañas guijeña"
en," ass, was seen on the road, andSancho, n"
es,"reza, y no es bien que, sin tener conoci"
fr,"out, enfin, si vous croyez quele diable "
fr, loyauté et son affection pourcraindre q
fr," porte à merveille, et il se recommande "
es,"espondió Sancho-, mas estoy más colérico"
es,voreciéndome el cielo y no me siendo con
en,Quixote rose and askedhis squire for a r
en,d listened intensely to what the curate 
en, as soon as he had said all he had to sa
en,a compromise wasmade whereby Sancho prom
fr,".Don Quichotte applaudit; et le curé, l'"
en,"e, hadconferred upon him, justice would "
es,denuevo venían en conocimiento della. Y 
es,da en tantas ocupaciones y en unencerram
fr,e à don           Quichotte et à sa comp
en,ve interrupted their hilarity.It was now
fr, voir à Chloris un amant véritable.  Ah!
en,sed the door behind him as quickly as po
fr,"ois rien, je te prie. S'ils te semblent "
fr,gnalement avec le visage de notre cheval
es,"tantos, que parece que este sitio se ha "
es,on a enterrar en esta tan escondida part
fr, son temps; presque toujours il les loue
es,". Un mozoque iba a pie, viendo caer al e"
es,"dicha, y mi vencimiento, felicísimotriun"
es," señor caballero, de quien se dice que a"
fr,"ur, car, ainsiqu'il l'avoua après la tem"
es,"la ha de quitar la vida? Ansí que,la que"
en,"that,had he come back to his wife withou"
es,", ono habéis de ser gobernador.-Señor -r"
es,noque.Más tardó en hablar don Quijote qu
es,"iere quemar, sea ese del GranCapitán y d"
fr,os enfants n'ont rien à se reprocher. En
fr,"s manche pour moi, quoi qu'il arrive.Peu"
es,"ridad, osado sincobardía, y todo esto, p"
es,"a, ¿no sentiste un olor sabeo, unafragan"
es,"rvido de venirse conmigo a mi aldea, que"
fr, de mou comme du coton; après quoi laiss
es,"o, largo de bigotes y la barbamuy bien p"
fr,"il nommait,n'avaient pas paru aussi souv"
es,uardándose para mejor sazón y coyuntura.
en,"changegreetings, all had learned that th"
fr,"re moins que, me découvrant les yeux pou"
fr,"t pas plus tôt reconnus àleurs discours,"
es, lo mismo es que si no lo fuesen; antes 
fr,"tant même.Maintenant, seigneurs, tournez"
fr, plusieurs nuits sans quitter ces maudit
fr,é jusqu'aujugement dernier sans le secou
es,"d en ello; y cuando nome la diere, nacid"
en,ey mightderive amusement from the presen
fr,?Comment! si je l'ai vue! s'écria Sancho
fr,rt de mon maître. J'ai ici une gourde pl
en,ut to be another adventure; then he wish
es,nde conjeturaron semoría fue el haber vu
fr, les quelques maravédis que tu gagnais p
es,", desde aquí le suelto, que más quiero u"
fr,"ole; car, bien que la vertu que tu possè"
fr,MIÈRE PARTIE  LIVRE PREMIER  CHAP. I. Qu
fr, Du beau succès qu'eut le valeureux don 
fr, de simplicité. Notre héros supplia Leur
es,"ehabía hablado primero-, del cual sé yo "
es,"consolase,no haciendo cuenta de las riqu"
fr,ous  errions tous les deux par les forêt
fr,vous vous ouvrirez les portes du ciel.Ro
fr,"y a rien de perdu, dit Sancho; allons, v"
fr,s par l'espoir de rencontrer quelqu'un q
es,a que había hallado en eldesengaño de la
fr,"lcinée du Toboso (p. 127).]Or çà, reprit"
es,ando todos ytratando a don Quijote como 
fr,"rie, celle qui tient le premier rang, c'"
es,"ispies y fue a abrazar a su padre, y, ju"
es,"on acciones del entendimiento, en quien "
fr,"temps de long en large, firent le tour d"
es,e la buena fortuna y midiligencia lo con
es,"eta Dorotea, que tan entendido tenía ya "
fr,"t ou non de marteaux à foulon,surtout si"
es,"ijo:-Sin duda alguna, Sancho, que ya deb"
fr,i vous n'étiez pas si content; encore qu
en, that fiction was all the better the mor
en,is time conceived the idea of shearingCa
es,"a cada uno lo que quisiere;aunque, si va"
es," era el avisado de Roque, dijo en alta v"
es,"a aquel sobresalto; y, sin quereraguarda"
fr,"é, que vousconnaissez bien: «Celui qui c"
en,"gift from herself to Teresa Panza, with "
es,a; ofrécesele alos ojos una apacible flo
es,"mayaba, de modo que todos los presentes "
es,"e a estas soledades, con intención de ac"
es, no le estimaran en dos ardites.Capítulo
es,n aun bosque que entre dos altísimas mon
fr,en.Quelle froideur est-ce là? armez-vous
es,irá latal pelea de despolvorearnos que d
fr,"astique,puisqu'il peut donner un canonic"
en,"e Rocinante began to neigh, andDapple, S"
fr,"ivit Cardenio, que jepartis, voyant trop"
es,e las sentencias. De mí sé decir que me 
fr,uloir badiner et de faire des pointes. M
fr,"cteur Pedro Rezio de mal Aguero, natif d"
es,"viaje aGénova, fui desde allí a Milán, d"
es,"er la de San Jorge puesto a caballo, con"
es," desea. Pues consaber, como sé, los innu"
en,h was one of alabaster-likewhiteness and
fr,"lauriers parles académies d'Athènes, si "
en, shirt--which was too long anyhow--and t
en, and some titled ladies; and the womenfe
fr,IIIDES GRANDES CHOSES QUE DIT BEN-ENGELI
fr,"ls cherchaient,endormi tranquillement au"
es,e comenzase la obra; que él le daríaluga
en,"he was trying to soothe her, the tears w"
fr, a voulu que je m'en soisressouvenu ici 
fr, et poursuivirent leur chemin.Dès qu'ils
en,"ain, had stolen her love away fromhim; b"
es,"uella manera, o están en aquellaangustia"
en,"ed away, taking withthem the seven sheep"
fr,ous ses effortspour dissuader le chapela
es,"s dos, y Sancho subió en su rucio, y Ric"
es, su autor dónde se podría hallar lo qued
fr,me coup me demander de me mettre le corp
es,odo que de nuevo obligó a queel labrador
es,sacara ni lasentendiera el mesmo Aristót
fr,"que Sancho eut bien mangé, il voulut ten"
fr,d motif pour lequel letraducteur croit q
es,"-; calla,digo, y no digas blasfemias con"
es,ndo atraviesa por delante de mí en losca
fr,"urte-pointe de satin jaune, une barrette"
es,uir tu consejo: haz lo que quisieres y g
es,"hora yago, y adonde no me da pena alguna"
fr,ui-ci; est-ce que ce roseau vaut dixécus
es," que sepuedan desear, especialmente la p"
es," los pies tan junto a una cueva,que, a n"
es, pecados le había sidoimpuesta. Rogámosl
es,"ánque dicen: que para dar y tener, seso "
es,mientos.El mozo respondió que era el mús
es,"la medicina, en unaforismo suyo, dice: O"
es,es la más alta princesa del mundo.Porque
fr,"l'épouser, je veuxqu'elle perde tout ce "
es,s de los cinco que dejé en casa y están 
fr,"e au cou de son père, et yrestait attach"
fr," Anna Félix allèrent lerecevoir, le père"
en,tuousnessagain by stipulating that she m
fr, lettres le rare génieauquel elles allai
fr, poursuivre quand il luiplaira.Je n'ai r
en,"eded, with Rocinante's reins in hishand,"
es,e fue el que le puso en deseo de destrui
es,"los, miró a todaspartes, y dio con el pi"
fr,us ferez bien de vous trouver à son ente
fr,"u pour le moins archevêque, oudignitaire"
en,"uixote toward the fair Altisidora, who n"
es,za que tenemos del premio; porque si dem
fr,"au lieu de s'en donner sur les épaules, "
en, her in his presence; and the instant he
es,mo y natural señor; que comas en mi plat
fr,"-t-on, il est plus aisé de récompenser l"
fr,"noux:O sublime princesse! s'écria-t-il, "
fr,"urquoi Sancho Panza, son écuyer, qui le "
fr,ntra sous sa main fut le moulu don Quich
en,r journey without ourhero.Don Quixote no
es,"cuervos ni otras avesnoturnas, como fuer"
es,"más antigua lengua, le hallara. En fin,l"
es,"o darmede manera que, sin matarme, me du"
es,"do esto; a lo menos, yo no los veo; quiz"
fr,tombe de marbre qu'avait commandée Ambro
es,arse sino con la muerte. Ypor ahora no o
es,"llevaba azogue! -dijo don Quijote-, y au"
es,"y que debía de dar graciasal cielo, más "
fr,"sez éloignées, puisqu'elles viennent de "
es,go con el morisco por el claustro de la 
es,"aballería, bástame el haberos hallado en"
fr,"vola, un mépris de la douleurassez grand"
fr,vanter d'avoir vu le visage de safille; 
fr,yait rêver encore; Cardenio et Luscinde 
es, en las suyas sería acabada la pendencia
fr,"ne demi-douzaine de réaux, ou ce que vou"
es,que haganel arte que no con las disparat
es,antado cómo las pudo saber elhistoriador
fr," déjà je suis en Espagne, oùje n'ai pas "
fr," cesrichesses, et viens consoler un père"
fr,ble que j'entends déjà ses flèches me si
fr,t bien peu degens qui lui ressemblent.[I
fr,", à l'exception demon cœur, il se trouve"
fr,ier ce que Sancho mettait tant desoins à
fr,nt ce que je me crois obligé de vous rév
es,"e dio la tierra en tierra la comida,   v"
fr,".Serait-il par hasard amoureux, votre ma"
es,"e su ligereza promete, ora la contraria "
